City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
166,Norman Wells,CA,2022-07-13 21:35:06,65.282,-126.8329,55.44,82,100,11.5
167,Chokurdakh,RU,2022-07-13 21:25:51,70.6333,147.9167,43.45,71,73,12.57
168,Buala,SB,2022-07-13 21:35:06,-8.145,159.5921,82.11,68,21,6.62
169,Bilma,NE,2022-07-13 21:35:07,18.6853,12.9164,91.81,17,16,5.08
170,Barentu,ER,2022-07-13 21:35:08,15.1139,37.5928,72.82,72,100,3.62
171,Kruisfontein,ZA,2022-07-13 21:35:08,-34.0033,24.7314,50.88,65,0,9.26
172,Takoradi,GH,2022-07-13 21:35:09,4.8845,-1.7554,74.48,88,100,8.95
173,Calama,CL,2022-07-13 21:35:09,-22.4667,-68.9333,61.29,16,0,26.46
174,Talnakh,RU,2022-07-13 21:29:44,69.4865,88.3972,49.21,66,47,3.31
175,Half Moon Bay,US,2022-07-13 21:30:14,37.4636,-122.4286,85.41,67,20,18.41
176,Kerrville,US,2022-07-13 21:35:10,30.0474,-99.1403,102.45,33,97,14.36
177,Nenjiang,CN,2022-07-13 21:35:11,49.1833,125.2167,65.62,96,100,4.05
178,Sibolga,ID,2022-07-13 21:36:11,1.7427,98.7792,76.96,91,98,2.93
179,Virginia Beach,US,2022-07-13 21:36:12,36.8529,-75.978,79.02,90,100,0.0
180,Salalah,OM,2022-07-13 21:24:07,17.0151,54.0924,77.09,100,75,6.91
181,Riyadh,SA,2022-07-13 21:34:34,24.6877,46.7219,95.14,11,100,9.75
182,Tilichiki,RU,2022-07-13 21:36:13,60.4667,166.1,68.32,67,17,4.9
183,Grand Gaube,MU,2022-07-13 21:36:13,-20.0064,57.6608,65.37,84,72,5.01
184,Saldanha,ZA,2022-07-13 21:32:45,-33.0117,17.9442,55.45,90,100,11.32
185,Portoferraio,IT,2022-07-13 21:36:14,42.8115,10.3146,80.17,72,3,0.76
186,Borovskoy,KZ,2022-07-13 21:36:15,53.8,64.15,65.16,73,100,3.67
187,Hofn,IS,2022-07-13 21:36:15,64.2539,-15.2082,50.74,83,32,8.72
188,Ilulissat,GL,2022-07-13 21:23:43,69.2167,-51.1,46.42,76,75,4.61
189,Morgan City,US,2022-07-13 21:36:16,29.6994,-91.2068,84.99,82,100,8.16
190,Petropavlovsk-Kamchatskiy,RU,2022-07-13 21:36:17,53.0452,158.6483,61.39,88,75,4.47
191,Beitbridge,ZW,2022-07-13 21:36:17,-22.2167,30.0,65.16,41,23,4.59
192,Phek,IN,2022-07-13 21:36:18,25.6667,94.5,59.45,98,25,2.06
193,Okha,RU,2022-07-13 21:36:18,53.5739,142.9478,57.09,87,77,12.71
194,Abu Zabad,SD,2022-07-13 21:36:19,12.35,29.25,78.85,67,100,6.24
195,Orillia,CA,2022-07-13 21:35:20,44.6087,-79.4207,70.3,64,100,8.05
196,Kawalu,ID,2022-07-13 21:36:20,-7.3817,108.2082,70.93,98,94,0.98
197,Mount Pleasant,US,2022-07-13 21:36:20,32.7941,-79.8626,82.99,81,75,5.75
198,Ambilobe,MG,2022-07-13 21:36:21,-13.2,49.05,67.6,77,10,3.8
199,Dikson,RU,2022-07-13 21:36:21,73.5069,80.5464,43.92,74,100,8.39
200,Khao Yoi,TH,2022-07-13 21:36:22,13.2403,99.8243,75.9,79,100,1.52
201,Joensuu,FI,2022-07-13 21:36:22,62.6012,29.7632,63.09,72,0,4.61
202,Aykhal,RU,2022-07-13 21:36:23,66.0,111.5,47.59,79,55,7.16
203,East London,ZA,2022-07-13 21:27:05,-33.0153,27.9116,60.06,74,0,5.66
204,La Plata,AR,2022-07-13 21:36:24,-34.9215,-57.9545,56.01,66,98,9.24
205,Mitsamiouli,KM,2022-07-13 21:30:19,-11.3847,43.2844,78.06,73,86,2.06
206,Narsaq,GL,2022-07-13 21:36:24,60.9167,-46.05,57.42,74,100,4.32
207,Amahai,ID,2022-07-13 21:36:25,-3.3333,128.9167,74.91,97,99,6.11
208,Hanting,CN,2022-07-13 21:36:26,36.7708,119.2108,77.25,86,93,1.43
209,Provideniya,RU,2022-07-13 21:27:01,64.3833,-173.3,51.91,82,100,13.42
210,Kokopo,PG,2022-07-13 21:36:27,-4.352,152.2633,81.1,75,100,9.13
211,Charagua,BO,2022-07-13 21:36:27,-19.8,-63.2167,76.57,60,82,13.94
212,Barrow,US,2022-07-13 21:27:32,71.2906,-156.7887,42.82,61,100,13.8
213,Maumere,ID,2022-07-13 21:36:28,-8.6199,122.2111,74.23,83,99,8.46
214,Sao Jose Dos Pinhais,BR,2022-07-13 21:36:29,-25.5347,-49.2064,54.73,87,100,8.99
215,Flin Flon,CA,2022-07-13 21:36:30,54.7682,-101.865,84.04,42,20,10.36
216,Pirapora,BR,2022-07-13 21:33:29,-17.345,-44.9419,72.97,40,12,2.73
217,Lynn Haven,US,2022-07-13 21:33:48,30.2455,-85.6483,88.03,72,100,4.0
218,Pisco,PE,2022-07-13 21:34:44,-13.7,-76.2167,66.25,68,0,19.57
219,Makushino,RU,2022-07-13 21:36:31,55.2103,67.2442,62.76,79,10,5.61
220,Bumba,CD,2022-07-13 21:36:32,2.1833,22.4667,71.35,94,100,0.94
221,Sembe,CG,2022-07-13 21:36:32,1.6481,14.5806,71.38,91,86,2.08
222,Guarapari,BR,2022-07-13 21:36:33,-20.6667,-40.4975,71.89,90,7,4.85
223,Dingle,PH,2022-07-13 21:28:54,10.9995,122.6711,75.36,92,34,1.48
224,San Patricio,US,2022-07-13 21:37:33,28.017,-97.5169,98.55,38,16,16.13
225,Katsuura,JP,2022-07-13 21:37:34,35.1333,140.3,75.16,92,100,9.84
226,Klamath Falls,US,2022-07-13 21:32:53,42.2249,-121.7817,90.88,27,0,3.44
227,Isabela,PH,2022-07-13 21:37:35,6.7085,121.9711,75.25,83,95,2.06
228,Acapulco,MX,2022-07-13 21:34:51,16.8634,-99.8901,85.82,70,40,6.91
