City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Provideniya,RU,64.3833,-173.3,33.44,99,100,9.15,snow
198,Hirara,JP,24.8,125.2833,80.87,78,75,16.11,broken clouds
199,Antofagasta,CL,-23.65,-70.4,60.08,88,37,1.12,scattered clouds
200,Kruisfontein,ZA,-34.0033,24.7314,66.88,54,87,10.42,overcast clouds
201,Pombal,BR,-6.7703,-37.8017,78.12,63,42,8.52,scattered clouds
202,Cleveland,US,41.4995,-81.6954,33.98,87,100,23.02,overcast clouds
203,Ust-Kuyga,RU,70.0167,135.6,-35.75,99,99,8.39,overcast clouds
204,Kahului,US,20.8947,-156.47,77.02,77,20,8.05,few clouds
205,Dubbo,AU,-32.25,148.6167,66.33,30,4,11.5,clear sky
206,Vanavara,RU,60.34,102.2797,12.97,93,100,7.02,light snow
207,Luderitz,NA,-26.6481,15.1594,68.25,56,5,12.3,clear sky
208,Qingdao,CN,36.0986,120.3719,64.0,55,0,11.18,clear sky
209,Leiyang,CN,26.4024,112.8591,63.7,69,99,2.95,overcast clouds
210,Vilyuysk,RU,63.7553,121.6247,-0.98,96,100,8.1,overcast clouds
211,Ostrovnoy,RU,68.0531,39.5131,31.64,91,99,20.29,overcast clouds
212,Port Lincoln,AU,-34.7333,135.8667,63.79,60,94,16.08,overcast clouds
213,Pangkalanbuun,ID,-2.6833,111.6167,82.92,84,93,5.75,heavy intensity rain
214,Marondera,ZW,-18.1853,31.5519,76.42,36,0,3.65,clear sky
215,Geraldton,AU,-28.7667,114.6,68.41,56,75,19.57,broken clouds
216,Huilong,CN,31.8111,121.655,57.92,82,100,19.89,overcast clouds
217,Brae,GB,60.3964,-1.353,47.14,76,100,37.33,overcast clouds
218,Zhanaozen,KZ,43.3,52.8,44.83,56,100,22.19,overcast clouds
219,Meulaboh,ID,4.1363,96.1285,82.24,72,94,3.91,overcast clouds
220,Buraydah,SA,26.326,43.975,70.25,26,100,9.75,overcast clouds
221,Cachoeiras De Macacu,BR,-22.4625,-42.6531,61.03,93,50,2.46,scattered clouds
222,Wanxian,CN,30.8039,108.3897,67.89,58,86,5.19,overcast clouds
223,Artigas,UY,-30.4,-56.4667,64.56,62,9,6.46,clear sky
224,Kropotkin,RU,45.4375,40.5756,55.98,71,100,17.05,overcast clouds
225,Vaasa,FI,63.096,21.6158,28.29,93,100,3.44,overcast clouds
226,Yulara,AU,-25.2406,130.9889,82.13,40,100,16.17,overcast clouds
227,Constitucion,CL,-35.3333,-72.4167,56.62,83,77,11.14,broken clouds
228,Senador Canedo,BR,-16.7081,-49.0931,69.13,88,0,3.44,clear sky
229,Souillac,MU,-20.5167,57.5167,75.58,57,40,3.44,scattered clouds
230,Kirakira,SB,-10.4544,161.9205,80.8,83,52,2.91,light rain
231,Saint George,US,37.1041,-113.5841,38.25,51,0,1.99,clear sky
232,Coquimbo,CL,-29.9533,-71.3436,56.93,94,20,3.44,few clouds
233,Yadgir,IN,16.7667,77.1333,84.36,22,5,8.21,clear sky
234,Mount Isa,AU,-20.7333,139.5,87.57,22,97,8.05,overcast clouds
235,Yermakovskoye,RU,53.2831,92.4003,30.22,51,70,16.96,broken clouds
236,Port Hedland,AU,-20.3167,118.5667,82.45,51,0,19.57,clear sky
237,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,75,66,10.65,broken clouds
238,Rockhampton,AU,-23.3833,150.5,80.49,36,47,5.75,scattered clouds
239,Srednekolymsk,RU,67.45,153.6833,-4.27,99,100,4.07,light snow
240,Jesup,US,31.6074,-81.8854,49.33,61,0,0.0,clear sky
241,Pacific Grove,US,36.6177,-121.9166,56.43,63,0,4.61,clear sky
242,North Platte,US,41.1239,-100.7654,33.12,78,100,5.99,overcast clouds
243,San Borja,BO,-14.8167,-66.85,75.09,72,71,3.2,broken clouds
244,Yuli,NG,9.6989,10.2744,76.87,31,9,7.56,clear sky
245,Palaikastron,GR,35.2,26.25,67.41,67,9,13.09,clear sky
246,Maralal,KE,1.0968,36.698,66.38,63,36,7.78,light rain
247,Nalut,LY,30.3333,10.85,60.84,29,100,8.57,overcast clouds
248,Ewo,CG,-0.8725,14.8206,74.61,84,97,3.2,overcast clouds
249,Berlevag,NO,70.8578,29.0864,44.55,76,100,19.57,overcast clouds
250,Camacha,PT,33.0833,-16.3333,65.62,88,40,11.5,scattered clouds
251,Parga,GR,39.2831,20.3964,65.12,83,100,9.17,light rain
252,Khatanga,RU,71.9667,102.5,-27.89,100,96,7.34,overcast clouds
253,Bengkulu,ID,-3.8004,102.2655,80.02,76,100,9.98,overcast clouds
254,Coihaique,CL,-45.5752,-72.0662,49.95,87,100,8.05,light rain
255,Qasigiannguit,GL,68.8193,-51.1922,17.85,90,100,3.56,overcast clouds
